material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability
Plastic,520,Low,1,1.092,2.6,2
Metal,334,Low,1,0.601,1.67,5
Paper,1706,Low,1,1.535,8.53,9
Bioplastic,1566,Medium,1,1.096,7.83,7
Paper,1564,Low,0,1.408,7.82,9
Paper,1916,High,1,1.724,9.58,9
Paper,717,Medium,1,0.645,3.585,9
Ceramic,1886,High,0,2.263,9.43,5
Paper,1371,High,0,1.234,6.855,9
Ceramic,970,Medium,1,1.164,4.85,5
Paper,314,Low,1,0.283,1.57,9
Ceramic,1006,Low,0,1.207,5.03,5
Metal,363,High,1,0.653,1.815,5
Paper,971,High,1,0.874,4.855,9
Glass,704,Medium,1,1.056,3.52,6
Ceramic,1869,High,1,2.243,9.345,5
Ceramic,1820,Medium,1,2.184,9.1,5
Ceramic,772,Medium,0,0.926,3.86,5
Paper,1492,Medium,1,1.343,7.46,9
Paper,580,High,1,0.522,2.9,9
Glass,272,Medium,1,0.408,1.36,6
Glass,1417,Low,1,2.126,7.085,6
Plastic,259,Medium,0,0.544,1.295,2
Paper,358,High,1,0.322,1.79,9
Paper,940,Low,1,0.846,4.7,9
Paper,566,Low,0,0.509,2.83,9
Plastic,1998,Medium,1,4.196,9.99,2
Metal,268,Medium,1,0.482,1.34,5
Glass,1717,Low,1,2.575,8.585,6
Paper,1532,Low,0,1.379,7.66,9
Glass,583,Low,1,0.875,2.915,6
Ceramic,610,Low,1,0.732,3.05,5
Plastic,1790,Low,0,3.759,8.95,2
Bioplastic,1074,Medium,1,0.752,5.37,7
Metal,730,Medium,0,1.314,3.65,5
Paper,921,Medium,1,0.829,4.605,9
Ceramic,765,Medium,1,0.918,3.825,5
Plastic,370,Medium,1,0.777,1.85,2
Paper,297,Low,1,0.267,1.485,9
Bioplastic,1940,High,1,1.358,9.7,7
Plastic,1948,Medium,1,4.091,9.74,2
Plastic,1705,Medium,1,3.58,8.525,2
Glass,1811,Low,1,2.716,9.055,6
Metal,1201,High,1,2.162,6.005,5
Metal,296,Low,1,0.533,1.48,5
Bioplastic,1349,Low,1,0.944,6.745,7
Ceramic,554,Low,1,0.665,2.77,5
Plastic,691,Medium,1,1.451,3.455,2
Ceramic,1106,High,1,1.327,5.53,5
Glass,871,Medium,1,1.306,4.355,6
Glass,586,Low,1,0.879,2.93,6
