material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability,co2_impact_index,eco_score
Plastic,520,Low,1,1.092,2.6,2,0.0021000000000000003,1.908
Metal,334,Low,1,0.601,1.67,5,0.0017994011976047903,5.399
Paper,1706,Low,1,1.535,8.53,9,0.0008997655334114888,8.465
Bioplastic,1566,Medium,1,1.096,7.83,7,0.0006998722860791827,6.904
Paper,1564,Low,0,1.408,7.82,9,0.0009002557544757032,7.5920000000000005
Paper,1916,High,1,1.724,9.58,9,0.0008997912317327766,8.276
Paper,717,Medium,1,0.645,3.585,9,0.000899581589958159,9.355
Ceramic,1886,High,0,2.263,9.43,5,0.0011998939554612937,2.737
Paper,1371,High,0,1.234,6.855,9,0.000900072939460248,7.766
Ceramic,970,Medium,1,1.164,4.85,5,0.0012,4.836
Paper,314,Low,1,0.283,1.57,9,0.0009012738853503184,9.717
Ceramic,1006,Low,0,1.207,5.03,5,0.0011998011928429425,3.793
Metal,363,High,1,0.653,1.815,5,0.0017988980716253445,5.3469999999999995
Paper,971,High,1,0.874,4.855,9,0.0009001029866117405,9.126
Glass,704,Medium,1,1.056,3.52,6,0.0015,5.944
Ceramic,1869,High,1,2.243,9.345,5,0.0012001070090957731,3.757
Ceramic,1820,Medium,1,2.184,9.1,5,0.0012000000000000001,3.816
Ceramic,772,Medium,0,0.926,3.86,5,0.0011994818652849742,4.074
Paper,1492,Medium,1,1.343,7.46,9,0.0009001340482573726,8.657
Paper,580,High,1,0.522,2.9,9,0.0009000000000000001,9.478
Glass,272,Medium,1,0.408,1.36,6,0.0014999999999999998,6.592
Glass,1417,Low,1,2.126,7.085,6,0.0015003528581510233,4.8740000000000006
Plastic,259,Medium,0,0.544,1.295,2,0.0021003861003861006,1.456
Paper,358,High,1,0.322,1.79,9,0.000899441340782123,9.678
Paper,940,Low,1,0.846,4.7,9,0.0009,9.154
Paper,566,Low,0,0.509,2.83,9,0.0008992932862190813,8.491
Plastic,1998,Medium,1,4.196,9.99,2,0.0021001001001001,-1.1959999999999997
Metal,268,Medium,1,0.482,1.34,5,0.0017985074626865672,5.518
Glass,1717,Low,1,2.575,8.585,6,0.0014997087944088527,4.425
Paper,1532,Low,0,1.379,7.66,9,0.000900130548302872,7.621
Glass,583,Low,1,0.875,2.915,6,0.0015008576329331046,6.125
Ceramic,610,Low,1,0.732,3.05,5,0.0012,5.268
Plastic,1790,Low,0,3.759,8.95,2,0.0021,-1.759
Bioplastic,1074,Medium,1,0.752,5.37,7,0.0007001862197392924,7.248
Metal,730,Medium,0,1.314,3.65,5,0.0018000000000000002,3.686
Paper,921,Medium,1,0.829,4.605,9,0.0009001085776330076,9.171
Ceramic,765,Medium,1,0.918,3.825,5,0.0012000000000000001,5.082
Plastic,370,Medium,1,0.777,1.85,2,0.0021,2.223
Paper,297,Low,1,0.267,1.485,9,0.000898989898989899,9.733
Bioplastic,1940,High,1,1.358,9.7,7,0.0007000000000000001,6.6419999999999995
Plastic,1948,Medium,1,4.091,9.74,2,0.0021001026694045175,-1.0910000000000002
Plastic,1705,Medium,1,3.58,8.525,2,0.002099706744868035,-0.5800000000000001
Glass,1811,Low,1,2.716,9.055,6,0.0014997239094422972,4.284
Metal,1201,High,1,2.162,6.005,5,0.001800166527893422,3.838
Metal,296,Low,1,0.533,1.48,5,0.0018006756756756758,5.467
Bioplastic,1349,Low,1,0.944,6.745,7,0.0006997776130467012,7.056
Ceramic,554,Low,1,0.665,2.77,5,0.001200361010830325,5.335
