material,weight_capacity,fragility,recyclability,co2_score,strength,biodegradability,co2_impact_index,eco_score,cost_efficiency,suitability_score
Plastic,0.26,,1,0.26024785510009535,0.26,2,0.0021,1.908,0.7217253241598306,2.9997521448999045
Metal,0.167,,1,0.1432316491897045,0.16699999999999998,5,0.0017994011976047,5.399,0.6865882814030961,6.023768350810295
Paper,0.853,,1,0.3658245948522402,0.853,9,0.0008997655334114,8.465,1.8311613629387085,10.48717540514776
Bioplastic,0.783,,1,0.26120114394661587,0.783,7,0.0006998722860791,6.904,2.1677672209026126,8.521798856053385
Paper,0.782,,0,0.33555767397521447,0.782,9,0.0009002557544757,7.592,1.795399430947691,9.446442326024785
Paper,0.958,,1,0.4108674928503337,0.958,9,0.0008997912317327,8.276,1.875241649561485,10.547132507149666
Paper,0.3585,,1,0.15371782650142995,0.3585,9,0.0008995815899581,9.355,1.4129870373849334,10.20478217349857
Ceramic,0.943,,0,0.5393231649189705,0.943,5,0.0011998939554612,2.737,1.4749973905912175,5.403676835081029
Paper,0.6855,,0,0.29408960915157295,0.6855,9,0.0009000729394602,7.766,1.7394521044992741,9.391410390848426
Ceramic,0.485,,1,0.27740705433746427,0.485,5,0.0012,4.836,1.285084617327608,6.207592945662536
Paper,0.157,,1,0.06744518589132507,0.157,9,0.0009012738853503,9.717,0.9376202675775691,10.089554814108675
Ceramic,0.503,,0,0.2876549094375596,0.503,5,0.0011998011928429,3.793,1.2975458010574201,5.21534509056244
Metal,0.1815,,1,0.15562440419447093,0.1815,5,0.0017988980716253,5.347,0.7100261047920938,6.025875595805529
Paper,0.4855,,1,0.20829361296472831,0.48550000000000004,9,0.0009001029866117,9.126,1.5747974644403215,10.277206387035271
Glass,0.352,,1,0.2516682554814109,0.352,6,0.0015,5.944,1.0009433450799674,7.10033174451859
Ceramic,0.9345,,1,0.534556720686368,0.9345000000000001,5,0.0012001070090957,3.757,1.4726815894238716,6.399943279313632
Ceramic,0.91,,1,0.5204957102001907,0.9099999999999999,5,0.0012,3.816,1.4665693654939314,6.3895042897998096
Ceramic,0.386,,0,0.22068636796949478,0.386,5,0.0011994818652849,4.074,1.203668252080856,5.1653136320305055
Paper,0.746,,1,0.32006673021925647,0.746,9,0.0009001340482573,8.657,1.7759083172585952,10.425933269780744
Paper,0.29,,1,0.1244041944709247,0.29,9,0.0009,9.478,1.2923109600679694,10.165595805529074
Glass,0.136,,1,0.09723546234509056,0.136,6,0.0014999999999999,6.592,0.6895311744804253,7.0387645376549095
Glass,0.7085,,1,0.5066730219256435,0.7085,6,0.001500352858151,4.8740000000000006,1.1678449088623508,7.201826978074356
Plastic,0.1295,,0,0.12964728312678744,0.1295,2,0.0021003861003861,1.456,0.5639082606890825,1.9998527168732128
Paper,0.179,,1,0.0767397521448999,0.179,9,0.0008994413407821,9.678,1.0127885652642934,10.102260247855101
Paper,0.47,,1,0.20162059103908486,0.47000000000000003,9,0.0009,9.154,1.5582490518331225,10.268379408960916
Paper,0.283,,0,0.12130600571973309,0.28300000000000003,9,0.000899293286219,8.491,1.2787723454662934,9.161693994280267
Plastic,0.999,,1,1.0,0.999,2,0.0021001001001001,-1.1959999999999995,0.9081818181818181,2.999
Metal,0.134,,1,0.11487130600571974,0.134,5,0.0017985074626865,5.518,0.6236291038154392,6.019128693994281
Glass,0.8585,,1,0.6136796949475692,0.8585,6,0.0014997087944088,4.425,1.202920590396046,7.244820305052431
Paper,0.766,,0,0.3286463298379409,0.766,9,0.0009001305483028,7.621,1.7870210163460467,9.437353670162059
Glass,0.2915,,1,0.20853193517635846,0.2915,6,0.0015008576329331,6.125,0.9447968484473968,7.082968064823642
Ceramic,0.305,,1,0.1744518589132507,0.305,5,0.0012,5.268,1.1113060090309133,6.130548141086749
Plastic,0.895,,0,0.8958531935176359,0.8949999999999999,2,0.0021,-1.759,0.8987268463121618,1.999146806482364
Bioplastic,0.537,,1,0.1792183031458532,0.537,7,0.0007001862197392,7.248,1.9232263571184705,8.357781696854145
Metal,0.365,,0,0.3131553860819829,0.365,5,0.0018,3.686,0.8834448546377479,5.051844613918018
Paper,0.4605,,1,0.19756911344137273,0.4605,9,0.000900108577633,9.171,1.5475396444017302,10.262930886558626
Ceramic,0.3825,,1,0.21877979027645378,0.3825,5,0.0012,5.082,1.1998878588516746,6.163720209723547
Plastic,0.185,,1,0.18517635843660632,0.185,2,0.0021,2.223,0.6487213772355005,2.9998236415633937
Paper,0.1485,,1,0.06363203050524309,0.14850000000000002,9,0.0008989898989898,9.733,0.907524031459365,10.084867969494757
Bioplastic,0.97,,1,0.32364156339370836,0.97,7,0.0007,6.642,2.289671467146714,8.64635843660629
Plastic,0.974,,1,0.9749761677788371,0.974,2,0.0021001026694045,-1.0910000000000002,0.9060665986786678,2.9990238322211633
Plastic,0.8525,,1,0.8531935176358437,0.8525,2,0.002099706744868,-0.5800000000000001,0.8943619361936194,2.9993064823641564
Glass,0.9055,,1,0.6472831267874167,0.9055,6,0.0014997239094422,4.284,1.2117227962750348,7.258216873212583
Metal,0.6005,,1,0.5152526215443279,0.6005,5,0.0018001665278934,3.838,0.976021846916641,6.085247378455672
Metal,0.148,,1,0.12702573879885606,0.148,5,0.0018006756756756,5.467,0.6519084610539575,6.020974261201143
Bioplastic,0.6745,,1,0.224976167778837,0.6745,7,0.0006997776130467,7.056,2.0755368143150483,8.449523832221162
Ceramic,0.277,,1,0.15848427073403243,0.277,5,0.0012003610108303,5.335,1.0716319380416743,6.118515729265968
Plastic,0.3455,,1,0.34580552907530987,0.34550000000000003,2,0.0020998552821997,1.549,0.7750016037634982,2.99969447092469
Ceramic,0.553,,1,0.31625357483317446,0.553,5,0.0011998191681735,4.673,1.3285171189740066,6.236746425166825
Glass,0.4355,,1,0.31124880838894187,0.43550000000000005,6,0.0014994259471871,5.694,1.0589696337505796,7.124251191611059
Glass,0.293,,1,0.20948522402287895,0.29300000000000004,6,0.0015,6.121,0.9467334052056062,7.083514775977121
Paper,0.783,,1,0.33579599618684464,0.783,9,0.0008997445721583,8.591,1.7967122388712677,10.447204003813155
Bioplastic,0.7385,,1,0.24642516682554816,0.7384999999999999,7,0.000700067704807,6.966,2.131773527793065,8.492074833174453
Paper,0.1475,,1,0.06339370829361297,0.14750000000000002,9,0.0009016949152542,9.734,0.9027275379229871,10.084106291706387
Bioplastic,0.4275,,1,0.14275500476644423,0.42750000000000005,7,0.0007005847953216,7.401,1.76103475358335,8.284744995233556
Ceramic,0.599,,1,0.3427073403241182,0.599,5,0.0012003338898163,4.562,1.3530383290267012,6.256292659675882
Bioplastic,0.678,,1,0.2261677788369876,0.678,7,0.0006998525073746,7.051,2.078684787373959,8.451832221163013
Paper,0.8805,,1,0.37774070543374644,0.8805,9,0.000900056785917,8.415,1.8430499850344206,10.502759294566253
Plastic,0.3195,,1,0.31982840800762635,0.3195,2,0.0021001564945226,1.658,0.761025204359673,2.9996715919923735
Glass,0.5265,,1,0.3763107721639657,0.5265,6,0.0014995251661918,5.421,1.1053707595316722,7.150189227836035
Metal,0.1285,,1,0.11034318398474739,0.1285,5,0.0018015564202334,5.537,0.6109064128710627,6.018156816015252
Ceramic,0.5955,,1,0.3405624404194471,0.5955,5,0.0011998320738874,4.571,1.3516812723141836,6.254937559580553
Plastic,0.745,,1,0.7457102001906578,0.745,2,0.0021,-0.129,0.8809164177422082,2.9992897998093424
Ceramic,0.3045,,1,0.1742135367016206,0.3045,5,0.0012003284072249,5.269,1.1104484616721708,6.130286463298379
Metal,0.6225,,0,0.5340800762631078,0.6224999999999999,5,0.0018,2.759,0.9817372021348566,5.0884199237368914
Bioplastic,0.7405,,0,0.2471401334604385,0.7405,7,0.0007002025658338,5.963,2.1331443086640123,7.493359866539562
Plastic,0.725,,1,0.7256911344137273,0.725,2,0.0021,-0.0449999999999999,0.8780523004098597,2.999308865586273
